GEO2_MX,absolute_change
484001001,-10025.0
484001002,1090.0
484001003,-1556.0
484001004,206.0
484001005,-4306.0
484001006,-5829.0
484001007,28.0
484001008,-247.0
484002001,0.0
484002002,0.0
484002003,0.0
484002004,0.0
484003001,0.0
484004001,2519.0
484004002,0.0
484004003,0.0
484004004,1616.0
484004005,1402.0
484004006,9273.0
484005001,1688.0
484005002,0.0
484005003,707.0
484005004,-640.0
484005005,0.0
484005006,0.0
484005007,0.0
484005008,317.0
484005009,0.0
484005010,1159.0
484005011,0.0
484005012,0.0
484005013,47.0
484005014,456.0
484005015,29.0
484005016,41.0
484005017,-2547.0
484005018,-4160.0
484005019,232.0
484005020,0.0
484005021,52.0
484005022,545.0
484005023,0.0
484005024,0.0
484005025,-167.0
484005026,0.0
484005027,0.0
484005028,176.0
484005029,43.0
484005030,0.0
484005031,0.0
484005032,2200.0
484005033,0.0
484005034,0.0
484005035,0.0
484005036,0.0
484005037,0.0
484005038,0.0
484006001,0.0
484006002,-1531.0
484006003,-360.0
484006004,1308.0
484006005,-254.0
484006006,-83.0
484006007,114.0
484006008,0.0
484006009,5591.0
484007001,-416.0
484007002,-3.0
484007003,31.0
484007004,-245.0
484007005,0.0
484007006,-3376.0
484007007,342.0
484007008,-2156.0
484007009,0.0
484007010,-92.0
484007011,-1311.0
484007012,0.0
484007013,0.0
484007014,9.0
484007015,-760.0
484007016,313.0
484007017,0.0
484007018,0.0
484007019,-1879.0
484007020,-568.0
484007021,0.0
484007022,-1.0
484007023,-2531.0
484007024,6205.0
484007025,0.0
484007026,1045.0
484007027,-680.0
484007028,181.0
484007029,0.0
484007030,-691.0
484007031,2231.0
484007032,156.0
484007033,0.0
484007034,97.0
484007035,0.0
484007036,2275.0
484007037,1700.0
484007038,440.0
484007039,1193.0
484007040,-591.0
484007041,-1517.0
484007042,0.0
484007043,0.0
484007044,205.0
484007045,0.0
484007046,0.0
484007047,427.0
484007048,0.0
484007049,303.0
484007050,7.0
484007051,-874.0
484007052,0.0
484007053,-8.0
484007054,0.0
484007055,0.0
484007056,468.0
484007057,-681.0
484007058,194.0
484007059,0.0
484007060,0.0
484007061,0.0
484007062,0.0
484007063,0.0
484007064,208.0
484007065,0.0
484007066,4.0
484007067,0.0
484007068,0.0
484007069,-915.0
484007070,-84.0
484007071,-1034.0
484007072,0.0
484007073,0.0
484007074,0.0
484007075,442.0
484007076,1156.0
484007077,4.0
484007078,6434.0
484007079,0.0
484007080,-603.0
484007081,-216.0
484007082,7.0
484007083,172.0
484007084,0.0
484007085,0.0
484007086,0.0
484007087,0.0
484007088,0.0
484007089,-1541.0
484007090,0.0
484007091,0.0
484007092,0.0
484007093,-115.0
484007094,-119.0
484007095,-10.0
484007096,0.0
484007097,88.0
